Date,Name,Team,Position,Opp,Home/Away,Line,Moneyline,Projection,Diff,Pick,Result,over_under,seven_day_accuracy,successful_pick
2021-10-21, Bogdan,ATL,G,DAL,vs.,15.5,-115,16.57,1.07,15.5,11.0,o,0.47,0
2021-10-23, Bogdan,ATL,G,CLE,@,14.5,-115,15.29,0.79,14.5,5.0,o,0.45,0
2021-10-25, Bogdan,ATL,G,DET,vs.,15.5,-115,12.85,-2.65,15.5,14.0,u,0.45,1
2021-10-27, Bogdan,ATL,G,NOR,@,12.5,-125,13.7,1.2,12.5,12.0,o,0.45,0
2021-10-28, Bogdan,ATL,G,WAS,@,12.5,-105,16.72,4.22,12.5,14.0,o,0.42,1
2021-10-30, Bogdan,ATL,G,PHI,@,12.5,-113,15.71,3.21,12.5,13.0,o,0.45,1
2021-11-01, Bogdan,ATL,G,WAS,vs.,12.5,-115,17.02,4.52,12.5,16.0,o,0.52,1
2021-11-03, Bogdan,ATL,G,BKN,@,13.5,-107,16.81,3.31,13.5,8.0,o,0.55,0
2021-11-04, Bogdan,ATL,G,UTH,vs.,12.5,-115,15.37,2.87,12.5,8.0,o,0.53,0
2021-11-06, Bogdan,ATL,G,PHO,@,12.5,-110,15.88,3.38,12.5,18.0,o,0.48,1
2021-11-08, Bogdan,ATL,G,GSW,@,12.5,-113,15.57,3.07,12.5,17.0,o,0.44,1
2021-11-14, Bogdan,ATL,G,MIL,vs.,13.5,-105,14.6,1.1,13.5,6.0,o,0.47,0
2021-11-15, Bogdan,ATL,G,ORL,vs.,12.5,-115,12.62,0.12,12.5,20.0,o,0.47,1
2021-11-20, Bogdan,ATL,G,CHA,vs.,12.5,-122,16.82,4.32,12.5,7.0,o,0.56,0
2021-11-22, Bogdan,ATL,G,OKC,vs.,12.5,-115,12.71,0.2,12.5,13.0,o,0.53,1
2021-11-24, Bogdan,ATL,G,SAS,@,12.5,-110,14.0,1.5,12.5,18.0,o,0.46,1
2021-11-26, Bogdan,ATL,G,MEM,@,12.5,-110,17.15,4.65,12.5,8.0,o,0.4,0
2021-11-27, Bogdan,ATL,G,NYK,vs.,11.5,-125,14.06,2.56,11.5,2.0,o,0.42,0
2021-12-22, Bogdan,ATL,G,ORL,vs.,15.5,105,14.46,-1.04,15.5,6.0,u,0.6,1
2021-12-25, Bogdan,ATL,G,NYK,@,15.5,-113,13.58,-1.92,15.5,8.0,u,0.6,1
2021-12-27, Bogdan,ATL,G,CHI,vs.,15.5,-105,14.29,-1.21,15.5,20.0,u,0.57,0
2022-01-07, Bogdan,ATL,G,LAL,@,11.5,-115,13.5,2.0,11.5,15.0,o,0.61,1
2022-01-09, Bogdan,ATL,G,LAC,@,13.5,-120,12.7,-0.8,13.5,19.0,u,0.61,0
2022-01-12, Bogdan,ATL,G,MIA,vs.,14.5,-120,12.1,-2.4,14.5,15.0,u,0.55,0
2022-01-14, Bogdan,ATL,G,MIA,@,14.5,105,14.7,0.2,14.5,7.0,o,0.53,0
2022-01-15, Bogdan,ATL,G,NYK,vs.,13.5,-112,12.8,-0.7,13.5,0.0,u,0.53,1
2022-01-26, Bogdan,ATL,G,SAC,vs.,10.5,-110,11.6,1.1,10.5,18.0,o,0.43,1
2022-01-28, Bogdan,ATL,G,BOS,vs.,11.5,-105,12.3,0.8,11.5,19.0,o,0.46,1
2022-02-03, Bogdan,ATL,G,PHO,vs.,13.5,-125,12.8,-0.7,13.5,11.0,u,0.54,1
2022-02-04, Bogdan,ATL,G,TOR,@,12.5,-115,15.7,3.2,12.5,18.0,o,0.53,1
2022-02-06, Bogdan,ATL,G,DAL,@,12.5,-125,12.9,0.4,12.5,5.0,o,0.56,0
2022-02-11, Bogdan,ATL,G,SAS,vs.,12.5,-115,15.01,2.51,12.5,23.0,o,0.56,1
2022-02-13, Bogdan,ATL,G,BOS,@,13.5,-115,13.4,-0.1,13.5,26.0,u,0.51,0
2022-02-15, Bogdan,ATL,G,CLE,vs.,14.5,-110,14.6,0.1,14.5,10.0,o,0.47,0
2022-02-16, Bogdan,ATL,G,ORL,@,14.5,-105,16.0,1.5,14.5,23.0,o,0.44,1
2022-02-24, Bogdan,ATL,G,CHI,@,14.5,-105,15.4,0.9,14.5,27.0,o,0.5,1
2022-02-26, Bogdan,ATL,G,TOR,vs.,16.5,-113,15.6,-0.9,16.5,14.0,u,0.45,1
2022-03-01, Bogdan,ATL,G,BOS,@,14.5,-120,14.6,0.1,14.5,25.0,o,0.53,1
2022-03-03, Bogdan,ATL,G,CHI,vs.,15.5,-115,15.7,0.2,15.5,20.0,o,0.55,1
2022-03-07, Bogdan,ATL,G,DET,@,16.5,-125,16.6,0.1,16.5,22.0,o,0.46,1
2022-03-09, Bogdan,ATL,G,MIL,@,14.5,-120,14.9,0.4,14.5,9.0,o,0.45,0
2022-03-11, Bogdan,ATL,G,LAC,vs.,14.5,-105,14.8,0.3,14.5,11.0,o,0.5,0
2022-03-13, Bogdan,ATL,G,IND,vs.,16.5,-120,16.0,-0.5,16.5,13.0,u,0.48,1
2022-03-14, Bogdan,ATL,G,POR,vs.,17.5,-105,16.5,-1.0,17.5,9.0,u,0.47,1
2022-03-16, Bogdan,ATL,G,CHA,@,15.5,-120,14.3,-1.2,15.5,12.0,u,0.46,1
2022-03-18, Bogdan,ATL,G,MEM,vs.,18.5,-115,15.4,-3.1,18.5,30.0,u,0.43,0
2022-03-20, Bogdan,ATL,G,NOR,vs.,15.5,-115,16.1,0.6,15.5,21.0,o,0.49,1
2022-03-22, Bogdan,ATL,G,NYK,@,16.5,-105,15.1,-1.4,16.5,32.0,u,0.49,0
2022-03-23, Bogdan,ATL,G,DET,@,19.5,-125,17.3,-2.2,19.5,13.0,u,0.46,1
2022-03-30, Bogdan,ATL,G,OKC,@,18.5,-125,14.3,-4.2,18.5,20.0,u,0.46,0
2022-03-31, Bogdan,ATL,G,CLE,vs.,16.5,-115,14.8,-1.7,16.5,,u,0.46,nan
2021-10-20,Aaron Gordon,DEN,F,PHO,@,10.5,-113,13.29,2.79,10.5,12.0,o,0.33,1
2021-10-22,Aaron Gordon,DEN,F,SAS,vs.,11.5,-103,13.78,2.28,11.5,8.0,o,0.47,0
2021-10-25,Aaron Gordon,DEN,F,CLE,vs.,10.5,-127,13.59,3.09,10.5,12.0,o,0.45,1
2021-10-26,Aaron Gordon,DEN,F,UTH,@,10.5,-127,12.47,1.98,10.5,20.0,o,0.43,1
2021-10-29,Aaron Gordon,DEN,F,DAL,vs.,11.5,-115,14.18,2.67,11.5,13.0,o,0.45,1
2021-10-30,Aaron Gordon,DEN,F,MIN,@,12.5,-121,14.57,2.07,12.5,12.0,o,0.45,0
2021-11-01,Aaron Gordon,DEN,F,MEM,@,12.5,100,14.6,2.1,12.5,15.0,o,0.52,1
2021-11-03,Aaron Gordon,DEN,F,MEM,@,12.5,-125,12.4,-0.1,12.5,9.0,u,0.55,1
2021-11-06,Aaron Gordon,DEN,F,HOU,vs.,11.5,-122,13.5,2.0,11.5,9.0,o,0.48,0
